Town,State,Zip,Total_Runs,Last_Run_Date,Min_Price,Max_Price,Average_Price,Latest_Median_Sale,Latest_Median_List,Latest_PPSF,Latest_Homes_Sold,Latest_Inventory,Data_Source,Tax_Rate_Per_1000,Tax_Data_Source,Estimated_Annual_Tax,Estimated_Monthly_Tax,Min_Monthly_Price,Max_Monthly_Price,Avg_Monthly_Price,Months_Of_Data,Price_Trend
Cambridge,MA,02139,1,2026-03-13,980000.0,980000.0,980000.0,980000.0,874500.0,905,32,12,redfin,6.67,database,6536.6,544.72,900000,2340000,1591208,12,decreasing
Boxford,MA,01921,1,2026-03-13,979000.0,979000.0,979000.0,979000.0,1015000.0,327,21,5,redfin,13.54,database,13255.66,1104.64,979000,1385000,1112277,12,decreasing
Concord,MA,01742,1,2026-03-13,972500.0,972500.0,972500.0,972500.0,759000.0,650,2,3,redfin,13.05,database,12691.12,1057.59,685000,1742500,1248666,12,decreasing
Byfield,MA,01922,1,2026-03-13,970000.0,970000.0,970000.0,970000.0,1050000.0,371,11,4,redfin,7.51,database,7284.7,607.06,891000,1020000,959333,12,stable
Milton,MA,02186,1,2026-03-13,967500.0,967500.0,967500.0,967500.0,1295000.0,359,4,1,redfin,11.81,database,11426.18,952.18,735000,1495000,1046458,12,stable
Avon,MA,02322,1,2026-03-13,967000.0,967000.0,967000.0,967000.0,550000.0,238,1,0,redfin,13.35,database,12909.45,1075.79,465000,967000,592708,12,increasing
Walpole,MA,02071,1,2026-03-13,965000.0,965000.0,965000.0,965000.0,1099900.0,402,1,2,redfin,12.45,database,12014.25,1001.19,588750,965000,826062,12,increasing
Somerville,MA,02145,1,2026-03-13,960000.0,960000.0,960000.0,960000.0,1037000.0,595,45,33,redfin,10.98,database,10540.8,878.4,775000,1362500,956250,12,stable
Devens,MA,01434,1,2026-03-13,950000.0,950000.0,950000.0,950000.0,,390,1,0,redfin,12.55,database,11922.5,993.54,420000,950000,681041,12,increasing
Wakefield,MA,01880,1,2026-03-13,950000.0,950000.0,950000.0,950000.0,949500.0,371,5,0,redfin,11.74,database,11153.0,929.42,437500,950000,743287,12,increasing
Topsfield,MA,01983,1,2026-03-13,950000.0,950000.0,950000.0,950000.0,849900.0,378,15,4,redfin,15.66,database,14877.0,1239.75,690000,1085500,912583,12,decreasing
Stoneham,MA,02180,1,2026-03-13,937500.0,937500.0,937500.0,937500.0,1593500.0,360,4,1,redfin,10.06,database,9431.25,785.94,401000,1060500,692604,12,decreasing
Westford,MA,01886,1,2026-03-13,930000.0,930000.0,930000.0,930000.0,895000.0,369,42,21,redfin,13.11,database,12192.3,1016.02,299000,930000,729000,12,increasing
Wenham,MA,01984,1,2026-03-13,928250.0,928250.0,928250.0,928250.0,959000.0,390,10,5,redfin,15.99,database,14842.72,1236.89,318530,1200000,997940,12,decreasing
Hyde Park,MA,02136,1,2026-03-13,927000.0,927000.0,927000.0,927000.0,880000.0,315,9,1,redfin,12.4,database,11494.8,957.9,295000,945000,671000,12,increasing
Natick,MA,01760,1,2026-03-13,925000.0,925000.0,925000.0,925000.0,841500.0,445,89,40,redfin,12.17,database,11257.25,938.1,332000,1070000,816937,12,stable
Waltham,MA,02452,1,2026-03-13,920000.0,920000.0,920000.0,920000.0,899000.0,443,16,2,redfin,10.32,database,9494.4,791.2,434000,1145000,758500,12,increasing
Sudbury,MA,01776,1,2026-03-13,912000.0,912000.0,912000.0,912000.0,572000.0,511,2,1,redfin,14.27,database,13014.24,1084.52,640000,1282500,1027351,12,decreasing
Andover,MA,01845,1,2026-03-13,909000.0,909000.0,909000.0,909000.0,884950.0,358,50,14,redfin,12.31,database,11189.79,932.48,400000,949900,654116,12,increasing
Melrose,MA,02176,1,2026-03-13,907500.0,907500.0,907500.0,907500.0,812450.0,480,40,12,redfin,11.47,database,10409.02,867.42,479900,1140000,817837,12,increasing
Waltham,MA,02453,1,2026-03-13,900000.0,900000.0,900000.0,900000.0,1089950.0,323,6,1,redfin,10.32,database,9288.0,774.0,422000,1050000,762783,12,decreasing
Hollis,NH,03049,1,2026-03-13,900000.0,900000.0,900000.0,900000.0,699000.0,265,23,7,redfin,18.9,database,17010.0,1417.5,500000,1000000,804836,12,stable
Westborough,MA,01581,1,2026-03-13,900000.0,900000.0,900000.0,900000.0,837500.0,308,1,0,redfin,15.93,database,14337.0,1194.75,444444,900000,673800,12,increasing
Quincy,MA,02169,1,2026-03-13,893800.0,893800.0,893800.0,893800.0,937000.0,375,17,10,redfin,11.78,database,10528.96,877.41,388500,900000,674879,12,increasing
Somerville,MA,02144,1,2026-03-13,879950.0,879950.0,879950.0,879950.0,995000.0,699,20,11,redfin,10.98,database,9661.85,805.15,879950,1950000,1247554,12,decreasing
Norfolk,MA,02056,1,2026-03-13,879000.0,879000.0,879000.0,879000.0,887500.0,323,29,10,redfin,14.87,database,13070.73,1089.23,720000,879000,829325,12,stable
Watertown,MA,02472,1,2026-03-13,875000.0,875000.0,875000.0,875000.0,725000.0,501,81,30,redfin,12.2,database,10675.0,889.58,608000,1200000,978876,12,decreasing
Nahant,MA,01908,1,2026-03-13,871890.0,871890.0,871890.0,871890.0,2999500.0,624,6,5,redfin,8.99,database,7838.29,653.19,579900,871890,813140,12,increasing
Acton,MA,01720,1,2026-03-13,870000.0,870000.0,870000.0,870000.0,657500.0,363,77,20,redfin,16.23,database,14120.1,1176.68,318500,2010000,945854,12,stable
Roxbury,MA,02132,1,2026-03-13,862500.0,862500.0,862500.0,862500.0,1049000.0,476,56,8,redfin,12.4,database,10695.0,891.25,447500,1050000,762479,12,increasing
